idJornada;idResponsable;IdTiempoRegistro;idPunto;idBocatoma;idVariable;Valor_1;Valor_2
1;1;4/03/2025 9:00;1;2;5;17.6;17.2
1;1;4/03/2025 9:00;1;2;6;7.76;7.79
1;1;4/03/2025 10:00;1;2;1;21.8;21.8
1;1;4/03/2025 10:00;1;2;2;91.4;91.4
1;1;4/03/2025 10:00;1;2;3;7.89;7.92
1;1;4/03/2025 10:00;1;2;4;114.4;115.1
1;1;4/03/2025 10:00;1;2;5;17.6;17.2
1;1;4/03/2025 10:00;1;2;6;7.76;7.79
1;1;4/03/2025 11:00;1;2;1;23.1;23.1
1;1;4/03/2025 11:00;1;2;2;84.7;84.7
1;1;4/03/2025 11:00;1;2;3;7.86;7.68
1;1;4/03/2025 11:00;1;2;4;114.7;115.4
1;1;4/03/2025 11:00;1;2;5;18.2;18.0
1;1;4/03/2025 11:00;1;2;6;7.68;7.7
1;1;4/03/2025 12:00;1;2;1;22.9;22.9
1;1;4/03/2025 12:00;1;2;2;83.1;83.1
1;1;4/03/2025 12:00;1;2;3;7.9;7.61
1;1;4/03/2025 12:00;1;2;4;115.0;115.6
1;1;4/03/2025 12:00;1;2;5;18.2;18.1
1;1;4/03/2025 12:00;1;2;6;7.61;7.67
1;1;4/03/2025 13:00;1;2;1;22.9;22.9
1;1;4/03/2025 13:00;1;2;2;82.9;82.9
1;1;4/03/2025 13:00;1;2;3;7.89;7.92
1;1;4/03/2025 13:00;1;2;4;116.1;116.7
1;1;4/03/2025 13:00;1;2;5;18.7;18.4
1;1;4/03/2025 13:00;1;2;6;7.6;7.66
1;1;4/03/2025 14:00;1;2;1;22.8;22.8
1;1;4/03/2025 14:00;1;2;2;89.2;89.2
1;1;4/03/2025 14:00;1;2;3;7.89;7.9
1;1;4/03/2025 14:00;1;2;4;115.2;116.1
1;1;4/03/2025 14:00;1;2;5;19.3;18.7
1;1;4/03/2025 14:00;1;2;6;7.6;7.4
1;1;4/03/2025 15:00;1;2;1;17.5;17.5
1;1;4/03/2025 15:00;1;2;2;91.6;91.6
1;1;4/03/2025 15:00;1;2;3;7.74;7.82
1;1;4/03/2025 15:00;1;2;4;115.5;115.8
1;1;4/03/2025 15:00;1;2;5;17.9;17.8
1;1;4/03/2025 15:00;1;2;6;7.75;7.77
1;1;4/03/2025 16:00;1;2;1;19.3;19.3
1;1;4/03/2025 16:00;1;2;2;92.2;92.2
1;1;4/03/2025 16:00;1;2;3;7.78;7.8
1;1;4/03/2025 16:00;1;2;4;114.8;115.0
1;1;4/03/2025 16:00;1;2;5;17.8;17.9
1;1;4/03/2025 16:00;1;2;6;7.82;7.86
1;1;4/03/2025 17:00;1;2;1;19.9;19.9
1;1;4/03/2025 17:00;1;2;2;93.5;93.5
1;1;4/03/2025 17:00;1;2;3;7.67;7.74
1;1;4/03/2025 17:00;1;2;4;96.35;96.54
1;1;4/03/2025 17:00;1;2;5;18.1;18.1
1;1;4/03/2025 17:00;1;2;6;7.73;7.75
1;1;4/03/2025 18:00;1;2;1;19.5;19.5
1;1;4/03/2025 18:00;1;2;2;95.6;95.6
1;1;4/03/2025 18:00;1;2;3;7.67;7.72
1;1;4/03/2025 18:00;1;2;4;103.9;104.4
1;1;4/03/2025 18:00;1;2;5;17.7;17.7
1;1;4/03/2025 18:00;1;2;6;7.81;7.84
1;1;25/02/2025 7:00;3;1;1;21.1;21.1
1;1;25/02/2025 7:00;3;1;2;91.5;91.5
1;1;25/02/2025 7:00;3;1;3;7.56;7.67
1;1;25/02/2025 7:00;3;1;4;91.87;92.02
1;1;25/02/2025 7:00;3;1;5;18.6;18.5
1;1;25/02/2025 7:00;3;1;6;8.01;8.07
